issue_date,target_report_date,update_id,checkpoint_id,iz_code,node_index,anchor_rate_y_t,predicted_delta,predicted_rate,predicted_variance,predicted_sigma,calibrated80_lower,calibrated80_upper,calibrated95_lower,calibrated95_upper,uncertainty_flag,alpha_geo,alpha_transport,alpha_mobility,node_order_hash,forecast_status,observed_target_available,include_in_metrics,observed_rate,model_error,model_absolute_error,persistence_prediction,persistence_absolute_error
2023-02-25,2023-03-04,U10,U10,S02001598,22,77.62468464971862,-52.06827545166016,25.55640919805846,3172.5078125,56.32501983642578,-1.258759182678844,52.371577578795765,-20.70503870843568,71.8178571045526,high,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001599,23,17.40341106856944,14.798416137695312,32.20182720626475,2294.870361328125,47.90480422973633,9.395348705898542,55.00830570663096,-7.143841586459857,71.54749599898936,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001600,24,22.598870056497177,17.875747680664062,40.47461773716124,2862.748291015625,53.50465774536133,15.00216557346495,65.94706990085753,-3.47038195766298,84.41961743198546,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001601,25,40.46944556859571,7.474790096282959,47.94423566487867,3644.996337890625,60.373802185058594,19.20152555135328,76.68694577840407,-1.642602103676019,97.53107343343336,high,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001602,26,16.76727028839705,32.517826080322266,49.28509636871932,3028.91064453125,55.03554153442383,23.083821496893144,75.48637124054548,4.082734308172441,94.48745842926618,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001603,27,25.87991718426501,19.98529815673828,45.86521534100329,3204.112548828125,56.60488128662109,18.916811028869503,72.81361965313708,-0.6260909639283483,92.35652164593492,high,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001604,28,23.413720440177944,24.717103958129883,48.13082439830782,3126.266845703125,55.913028717041016,21.51179630687716,74.74985248973849,2.207755398063682,94.05389339855196,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001605,29,30.09328919650918,20.52787208557129,50.62116128208047,3571.466064453125,59.7617416381836,22.169840633887105,79.07248193027382,1.5370281338871052,99.70529443027382,high,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001606,30,31.81673560292714,10.513455390930176,42.33019099385732,2724.60546875,52.19775390625,17.47992739827626,67.18045458943837,-0.5414101108790135,85.20179209859364,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001607,31,219.7198571820928,-168.78013610839844,50.93972107369436,5283.09912109375,72.68492889404297,16.33594223458303,85.54349991280569,-8.758616481237283,110.638058628626,high,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001608,32,59.15992900808519,-9.659698486328123,49.50023052175707,3341.038818359375,57.801719665527344,21.98203632314867,77.01842472036546,2.0259225078410523,96.97453853567308,high,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001609,33,13.935340022296543,10.44393825531006,24.3792782776066,1518.228515625,38.96445083618164,5.829115008563633,42.92944154664957,-7.623407269268398,56.3819638244816,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001610,34,30.32140691328078,0.8846290707588196,31.2060359840396,2073.255859375,45.53302001953125,9.528713596344286,52.883358371734914,-6.191615688323683,68.60368765640288,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001611,35,15.199878400972793,4.599775314331055,19.799653715303847,1324.0535888671875,36.38754653930664,2.4763009015831443,37.12300652902455,-10.086542421170762,49.68584985177846,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001612,36,16.866250632484398,4.297417163848877,21.163667796333275,1358.000244140625,36.85105514526367,3.6196480972365954,38.70768749542995,-9.103223683158912,51.43055927582546,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001613,37,20.53809817210926,4.883732318878174,25.42183049098744,1279.413330078125,35.76888656616211,8.393008545797006,42.45065243617786,-3.9562422476600254,54.79990322963489,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001614,38,66.38636866563398,-33.63950729370117,32.74686137193281,1670.7706298828125,40.87506103515625,13.287096891341989,52.20662585252363,-0.825068559707816,66.31879130357343,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001615,39,16.608536787908985,7.151525497436523,23.76006228534551,1619.7496337890625,40.24611282348633,4.599726744574024,42.920397826117,-9.295292786675976,56.815417357367,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001616,40,19.41370607649,8.124622344970703,27.538328421460704,1521.119873046875,39.00153350830078,8.970510733472423,46.106146109448986,-4.4948136683830455,59.57147051130445,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001617,41,16.750418760469014,3.311469316482544,20.06188807695156,1309.9027099609375,36.19257736206055,2.831356384446675,37.29241976945645,-9.664174697706644,49.78795085160976,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001618,42,20.88118605136772,12.289731979370115,33.17091803073784,1402.8992919921875,37.455299377441406,15.339230103491744,51.00260595798393,2.4077439737310016,63.93409208774467,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001619,43,12.2684333210649,11.402790069580078,23.67122339064498,1164.3529052734375,34.12261199951172,7.426159608906698,39.916287172383264,-4.354714643412638,51.6971614247026,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
